rank,province,city,aqi,quality_level,pm25,main_pollutant,date,timestamp
1,宁夏,银川,500,严重污染,164,PM10,2025-03-09,2025-03-09 16:33:43
1,宁夏,银川,500,严重污染,164,PM10,2025-03-09,2025-03-09 16:33:43
2,河北,秦皇岛,198,中度污染,148,PM2.5,2025-03-09,2025-03-09 16:33:43
3,辽宁,锦州,179,中度污染,135,PM2.5,2025-03-09,2025-03-09 16:33:43
4,辽宁,葫芦岛,175,中度污染,132,PM2.5,2025-03-09,2025-03-09 16:33:43
5,北京,北京,128,轻度污染,97,PM2.5,2025-03-09,2025-03-09 16:33:43
6,辽宁,大连,120,轻度污染,91,PM2.5,2025-03-09,2025-03-09 16:33:43
7,甘肃,兰州,114,轻度污染,47,PM10,2025-03-09,2025-03-09 16:33:43
8,安徽,安庆,110,轻度污染,83,PM2.5,2025-03-09,2025-03-09 16:33:43
9,河南,焦作,108,轻度污染,81,PM2.5,2025-03-09,2025-03-09 16:33:43
10,山东,日照,105,轻度污染,79,PM2.5,2025-03-09,2025-03-09 16:33:43
11,湖北,黄冈,105,轻度污染,79,PM2.5,2025-03-09,2025-03-09 16:33:43
12,河南,商丘,104,轻度污染,78,PM2.5,2025-03-09,2025-03-09 16:33:43
13,广东,江门,101,轻度污染,65,O3,2025-03-09,2025-03-09 16:33:43
14,安徽,六安,100,良,75,PM2.5,2025-03-09,2025-03-09 16:33:43
15,黑龙江,哈尔滨,100,良,75,PM2.5,2025-03-09,2025-03-09 16:33:43
16,河北,廊坊,100,良,75,PM2.5,2025-03-09,2025-03-09 16:33:43
17,河南,洛阳,99,良,74,PM2.5,2025-03-09,2025-03-09 16:33:43
18,河北,石家庄,99,良,74,PM2.5,2025-03-09,2025-03-09 16:33:43
19,安徽,阜阳,99,良,74,PM2.5,2025-03-09,2025-03-09 16:33:43
20,天津,天津,98,良,73,PM2.5,2025-03-09,2025-03-09 16:33:43
21,安徽,池州,98,良,73,PM2.5,2025-03-09,2025-03-09 16:33:43
22,江苏,连云港,98,良,73,PM2.5,2025-03-09,2025-03-09 16:33:43
23,山东,临沂,97,良,72,PM2.5,2025-03-09,2025-03-09 16:33:43
24,辽宁,朝阳,97,良,72,PM10,2025-03-09,2025-03-09 16:33:43
25,吉林,长春,97,良,72,PM2.5,2025-03-09,2025-03-09 16:33:43
26,山东,济宁,95,良,71,PM2.5,2025-03-09,2025-03-09 16:33:43
27,安徽,铜陵,95,良,71,PM2.5,2025-03-09,2025-03-09 16:33:43
28,山东,青岛,95,良,71,PM2.5,2025-03-09,2025-03-09 16:33:43
29,河北,唐山,94,良,70,PM2.5,2025-03-09,2025-03-09 16:33:43
30,湖北,孝感,94,良,70,PM2.5,2025-03-09,2025-03-09 16:33:43
